epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,100.278,0.30218,0.9619,1,0.08839,0.000237052,0.000237052,0.000237052
2,202.668,0.06936,0.98052,1,0.05466,0.000451537,0.000451537,0.000451537
3,300.058,0.06987,0.98278,1,0.05446,0.00064246,0.00064246,0.00064246
4,396.46,0.05705,0.97601,1,0.05757,0.000607971,0.000607971,0.000607971
5,492.472,0.03078,0.98702,1,0.03719,0.000572628,0.000572628,0.000572628
6,589.216,0.03659,0.98786,1,0.03196,0.000537285,0.000537285,0.000537285
7,684.084,0.02984,0.98419,1,0.044,0.000501942,0.000501942,0.000501942
8,779.624,0.02305,0.98278,1,0.04325,0.000466599,0.000466599,0.000466599
9,877.247,0.02575,0.98307,1,0.04644,0.000431256,0.000431256,0.000431256
10,974.188,0.03218,0.98448,1,0.04039,0.000395913,0.000395913,0.000395913
11,1073.68,0.0134,0.9825,1,0.04682,0.00036057,0.00036057,0.00036057
12,1169.25,0.01401,0.97883,1,0.05883,0.000325227,0.000325227,0.000325227
13,1264.07,0.02024,0.98758,1,0.03414,0.000289884,0.000289884,0.000289884
14,1363.31,0.01548,0.97827,1,0.05027,0.000254541,0.000254541,0.000254541
15,1458.49,0.01465,0.9746,1,0.06438,0.000219198,0.000219198,0.000219198
16,1560.75,0.01108,0.9729,1,0.07268,0.000183855,0.000183855,0.000183855
17,1659.51,0.00824,0.98024,1,0.05752,0.000148512,0.000148512,0.000148512
18,1751.7,0.01348,0.97544,1,0.0682,0.000113169,0.000113169,0.000113169
19,1846.91,0.01068,0.98052,1,0.05478,7.7826e-05,7.7826e-05,7.7826e-05
20,1948.04,0.00912,0.97883,1,0.0591,4.2483e-05,4.2483e-05,4.2483e-05
